LU00118421,PICTET ALTERNATIVE FUNDS,-998,107721,LU,Luxembourg
LU00118434,HYD FIN INT'L,-998,160000,LU,Luxembourg
LU00118446,SES TechCom S.A.,86,49536911,LU,Betzdorf
LU00118471,Genpact International,-998,358918422,LU,Luxembourg
LU00118507,SAFEWAY PROPERTIES S.A.,-998,2521082,LU,Luxembourg
LU00118537,Credit Suisse Real Estate Fund International (Luxembourg) Holding S.A.,-998,190439360,LU,Luxembourg
LU00118631,West of England Insurance Services (Luxembourg) S.A.,45,24146977,LU,Luxembourg
LU00118729,ABC Constructions Sàrl,-998,288993,LU,Niederanven
LU00118738,J.P. Morgan RE Luxembourg Management Company S.A.,-998,479782,LU,Senningerberg
LU00118760,EURX Gerrards Cross Investment SARL,-995,1972104,LU,Luxembourg
LU00118782,Degroof Petercam Asset Services S.A.,64,274963570,LU,Luxembourg
LU00118784,IMPRIMERIE CENTRALE,61,9815763,LU,Luxembourg
LU00118790,HAKEN S.A.,-998,1790239,LU,Weiswampach
LU00118865,Jabil Luxembourg Manufacturing S.à r.l.,-995,2578488832,LU,Bertrange
LU00118879,GE Intelligent Platforms Europe S.A.,58,4742130,LU,Senningerberg
LU00118880,FANUC FA Europe S.A.,-998,156949043,LU,Echternach
LU00118905,WENKELHIEL,71,1694280,LU,Luxembourg
LU00118916,TELEFONICA INSURANCE S.A.,83,145399636,LU,Luxembourg
LU00118922,SL Place de Paris S.à r.l.,71,1514174,LU,Luxembourg
LU00118948,Succursale(s) luxembourgeoise(s) de H. P. LINDEN G.m.b.H,-998,11338932,LU,Troisvierges
LU00118974,BPI Real Estate Luxembourg S.A.,38,6914438,LU,Strassen
LU00118982,Marques S. à r.l.,-998,257345,LU,Vianden
LU00119040,Cerfontaine,-994,455899,LU,Luxembourg
LU00119042,IHL,49,3421287,LU,Luxembourg
LU00119066,Endurance Real Estate Management Company S.A.,-995,480904,LU,Luxembourg
LU00119067,FRUITS ET LEGUMES DU JARDIN S.A.,51,1153932,LU,Weidingen
LU00119112,CHRISTAL S.A.,65,24681858,LU,Luxembourg
LU00119119,INTERNATIONAL CHEMICAL INVESTORS S.E.,39,259331000,LU,Luxembourg
LU00119120,Kempinsky S.à.r.l.,-998,126128,LU,Luxembourg
LU00119129,SES ASTRA 1M S.àr.l,49,98339498,LU,Betzdorf
LU00119153,Pro.Rent Services S.A.,-997,579318,LU,Rodange
LU00119288,Toolhouse-Benelux sàrl,-998,5630,LU,Weiswampach
LU00119319,MATRIX TECHNOLOGIE S.A.,-998,278067,LU,Schieren
LU00119321,NevaFunds SICAV-RAIF,-998,1878844,LU,Luxembourg
LU00119390,De'Longhi Benelux S.A.,-998,43412976,LU,Luxembourg
LU00119431,Computacenter Solutions S.A.,-998,3550936,LU,Luxembourg
LU00119467,Marine Trade S.A.,-998,244913197,LU,Luxembourg
LU00119484,Dominican Entertainment (Luxembourg),67,73647461,LU,Munsbach
LU00119526,KS REAL ESTATE CORPORATION,62,115,LU,Luxembourg
LU00119549,ANDERSON FINANCE S.A.,-995,328546,LU,Luxembourg
LU00119557,INSIGHT FINANCE S.A.,28,221723,LU,Luxembourg
LU00119561,CAFE UM MOART S.à r.l.,-995,210184,LU,Remich
LU00119630,Banque Invik Asset Management S.A.,-998,2976392,LU,Luxembourg
LU00119684,Alphea,-994,564454,LU,Luxembourg
LU00119749,Smiths Detection International Luxembourg S.à r.l.,-994,12897116,LU,Luxembourg
LU00119790,Laeis GmbH,66,37072373,LU,Wecker
LU00119851,X-treme Art S.à r.l.,-997,88983,LU,Esch-sur-Alzette
LU00119882,SUNNY FITNESS S.A.,-997,97022,LU,Obercorn
LU00119943,DONATELLO SICAV,-995,616691,LU,Luxembourg
LU00120045,IVL Luxembourg S.A.,-997,556312,LU,Dudelange
LU00120048,VOYAGES UNSEN S.A.,-998,10510671,LU,Eschette
LU00120071,PETROLEUM SERVICES MANAGEMENT S.A.,-998,108995,LU,Capellen
LU00120117,H2O Floatation Center S.A.,50,33700,LU,Abweiler
LU00120141,NITSBA TELECOM S.A.,-998,3848000,LU,Luxembourg
LU00120193,ROLF BAU,-998,454113,LU,Erpeldange (Eschweiler)
LU00120202,TreeTop Asset Management S.A.,66,15653285,LU,Luxembourg
LU00120235,IBERDROLA RE S.A.,65,66061936,LU,Luxembourg
LU00120236,Courtage Commercial International S.à r.l.,-998,487366,LU,Luxembourg
LU00120256,Teixeira Construction Sàrl,-998,354348,LU,Frisange
LU00120281,SDMI S.à r.l.,-997,787196,LU,Foetz
LU00120289,European Depositary Bank SA,71,58727440,LU,Munsbach
LU00120294,TONTARELLI LUX S.A.,68,47443789,LU,Hautcharage
LU00120358,Freight Line Logistics S.A.,-998,25855,LU,Holzem
LU00120465,Lyxor Asset Management Luxembourg S.A.,-995,2112816,LU,Luxembourg
LU00120515,MMR RUSSIA S.à r.l.,36,1513371,LU,Luxembourg
LU00120516,Lacidem Luxembourg S.à r.l.,-994,1061072,LU,Luxembourg
LU00120549,PEINTURE HUBERT père et fils S.à r.l.,-995,116690,LU,Berdorf
LU00120566,ASSUREKA S.A.,-998,8730160,LU,Contern
LU00120598,SICAV II (Lux),63,12168744,LU,Luxemburg
LU00120615,CAMARIMMO S.A.,-997,474389,LU,Luxembourg
LU00120646,FONCIERE ROCADE,76,20505575,LU,Luxembourg
LU00120656,KNIGHTLIGHTS PROPERTY INTERNATIONAL S.A.,65,7172862,LU,Luxembourg
LU00120677,Partners Group (Luxembourg) S.A.,78,643752555,LU,Luxembourg
LU00120754,EUROPEAN DIRECT PROPERTY FUND,-998,31108145,LU,Luxembourg
LU00120763,JOMI INVEST SA,-998,60661,LU,Dudelange
LU00120789,Q Fund,-998,134264,LU,Luxembourg
LU00120795,GROSSFELD PAP S.A. SICAV-RAIF,68,8041414,LU,Howald
LU00120939,Menuis'Art Sàrl,-997,905803,LU,Bettembourg
LU00120950,BGL BNP Paribas Factor S.A.,-998,2920284,LU,Luxembourg
LU00121103,BNP Paribas LDI Solution,-998,6445631,LU,Luxembourg
LU00121118,SES Engineering (Luxembourg) S.à r.l.,56,218908714,LU,Betzdorf
LU00121123,Le Sphinx Assurances Luxembourg S.A.,58,30723301,LU,Luxembourg
LU00121156,Architecture and Engineering S.A.,-998,30059,LU,Luxembourg
LU00121226,FARAD Investment Management S.A.,-998,2671911,LU,Luxembourg
LU00121235,TOITURES PATRICK NAGEL S.A.,48,707182,LU,Hoscheid-Dickt
LU00121244,ALL CONSULTING COMPANY S.à r.l.,-998,252045,LU,Troisvierges
LU00121271,Skandinaviska Enskilda Banken S.A.,67,41451349,LU,Howald
LU00121311,2 Build S.A.,-992,18686,LU,Luxembourg
LU00121361,EBBC C S.à r.l.,51,3591167,LU,Senningerberg
LU00121385,Hauck & Aufhäuser Banquiers Luxembourg S.A.,-998,6466494,LU,Luxembourg
LU00121422,LFS Corporate Finance S.A.,-998,1097639,LU,Luxembourg
LU00121448,STEDALUX S.A.,48,17578,LU,Luxembourg
LU00121523,THE SWATCH GROUP RE (LUXEMBOURG) S.A.,68,9456722,LU,Alzingen
LU00121562,Fund Channel,70,252301844,LU,Luxembourg
LU00121583,Naviworld SA,-998,112798,LU,Dudelange
LU00121606,LUXICAV PLUS,62,734135,LU,Luxembourg
LU00121613,NG Mobile Systems S.à r.l.,25,19909,LU,Dudelange
LU00121635,Sun Microsystems Financial Sector S.à r.l.,-998,8698693,LU,Capellen
LU00121642,All Access, s.à r.l.,-998,686000,LU,Luxembourg
LU00121679,Insurance Broker's Solution Europe,49,503854,LU,Dippach
LU00121702,ART & PAVÉS S.à r.l.,51,5139168,LU,Schifflange
LU00121844,Fornaci di Masserano Bruno Tarello S.A.,-998,9656017,LU,Luxembourg
LU00121904,Onyx Neuss S.à r.l.,49,1072612,LU,Luxembourg
LU00121915,Family Park S.A.,-998,210988,LU,Contern
LU00121930,GEMS PROGRESSIVE FUND,-998,25927,LU,Luxembourg
LU00122033,ARROW ECS,69,45154678,LU,Windhof
LU00122083,CADASYS S.A.,-995,190842,LU,Luxembourg
LU00122085,FSC Luxembourg S.A.,-998,5799416,LU,Findel
LU00122115,C2NT IMPORT EXPORT S.A.,57,115846,LU,Schifflange
LU00122122,Interoute Communications Holdings S.A.,-995,727484000,LU,Luxembourg
LU00122124,INTERCAM UPGRADE S.A.,58,68305,LU,Harlange
LU00122149,BALOISE LUXEMBOURG REAL ESTATE S.A.,-998,759759,LU,Bertrange
LU00122152,Advanzia Bank S.A.,68,325171,LU,Munsbach
LU00122176,NATURAL RE S.A.,-998,33299145,LU,Luxembourg
LU00122237,J.P. Morgan Bank Luxembourg S.A.,70,666418274,LU,Senningerberg
LU00122260,ING Direct,-998,11639421,LU,Luxembourg
LU00122380,SOREBOL S.A.,-998,14842000,LU,Luxembourg-Ville
LU00122409,OCM Luxembourg POF III S.à r.l.,-995,28469,LU,Luxembourg
LU00122486,HLPA S.à r.l.,64,4575433,LU,Luxembourg
LU00122529,Ocean Fund,65,1756098,LU,Luxembourg
LU00122587,Sogeti PSF,-998,8224532,LU,Bertrange
LU00122588,WSC S. à r.l.,-998,67995,LU,Howald
LU00122623,Hoche Partners Corporate Services S.A.S.,32,5878351,LU,Bertrange
LU00122683,EMC International S.à r.l.,-998,149918476,LU,Capellen
LU00122707,Napster Luxembourg S.à r.l.,31,39454376,LU,Bous
LU00122710,Repco 1 S.à r.l.,27,830679,LU,Luxembourg
LU00122738,Threadneedle Management Luxembourg S.A.,-998,176734849,LU,Luxembourg
LU00122741,FRHI Hotels & Resorts S.à r.l.,-998,33011956,LU,Luxembourg
LU00122748,NTT Luxembourg PSF S.A.,69,70175717,LU,Capellen
LU00122761,NETADVISE Sàrl,-998,80175,LU,Roullingen
LU00122809,21 Omega S.A.,-998,1650000,LU,Luxembourg
LU00122829,Banque LBLux S.A.,-996,37738000,LU,Luxembourg
LU00122830,AZUR CLEAN S.A.,-998,264254,LU,Livange
LU00122852,LaSalle Administration Services,-998,1092096,LU,Luxembourg
LU00122859,IVC Luxembourg S.à r.l.,81,14144709,LU,Wiltz
LU00122900,Prefueled. Com-Online Music Store,-998,42245,LU,Luxembourg
LU00122914,SPI Play BeNeLux France,-998,686445,LU,Rodange
LU00122926,Repco 3 S.à r.l.,-995,862361,LU,Luxembourg
LU00122930,Repco 2 S.à r.l.,-995,177554,LU,Luxembourg
LU00123023,INCO Logistics S.à r.l.,74,22266543,LU,Wecker
LU00123035,Computer Task Group IT Solutions S.A.,63,13194757,LU,Bertrange
LU00123039,Luxtech Computersystems S.à r.l.,-997,126396,LU,Esch-sur-Alzette
LU00123079,Francap S.à r.l.,67,1885066,LU,Luxembourg
LU00123095,Ocorian Holdings (Luxembourg) S.à r.l.,-998,151920,LU,Luxembourg
LU00123096,M GROUPE SARL,-998,68009,LU,Luxembourg
LU00123116,Repco 8 S.à r.l.,-995,161085,LU,Luxembourg
LU00123118,Repco 10 S.à r.l.,-995,546008,LU,Luxembourg
LU00123126,Repco 5 S.à r.l.,-995,142814,LU,Luxembourg
LU00123130,Repco 7 S.à r.l.,-995,680894,LU,Luxembourg
LU00123138,Repco 4 S.à r.l.,-995,22527,LU,Luxembourg
LU00123164,AVANTI INVEST SA,-998,98444,LU,Dudelange
LU00123166,EXP'AIR VOYAGES SARL,-995,247957,LU,Luxembourg
LU00123187,JP Residential VI S.à r.l.,-995,-50529,LU,Luxemburg
LU00123256,Luxprotect,-998,82012,LU,Luxembourg
LU00123259,Barakah,-998,156275,LU,Dudelange
LU00123261,Onyx Bremen S.à r.l.,-998,5117731,LU,Luxembourg
LU00123277,Luxfoot International S.A.,-997,229179,LU,Bertrange
LU00123310,VA No1 Lux (Munich) S.A.,-996,3291,LU,Luxembourg
LU00123359,Sesame Services S.à r.l.,-998,9991,LU,Luxembourg
LU00123405,Don Diego S. à r.l.,-995,129813,LU,Differdange
LU00123426,Qioptiq S.à r.l.,-994,6317938,LU,Luxembourg
LU00123437,PIN Group AG,-998,1673418,LU,Leudelange
LU00123538,Ricoh Luxembourg PSF S.à r.l.,77,10585745,LU,Bertrange
LU00123549,SCHRODER ALTERNATIVE SOLUTIONS,44,4005766,LU,Senningerberg
LU00123585,Tom Lux,-998,86575,LU,Rodange
LU00123591,ING Investment Management Multi Manager S.A.,-995,2033346,LU,Luxembourg
LU00123595,Truss Limited Partner S.à r.l.,61,6342105,LU,Luxembourg
LU00123627,UBS (Luxembourg) S.A.,45,47759512,LU,Luxembourg
LU00123654,TCFE Immo S.A.,-998,21600,LU,Luxembourg
LU00123688,Independent Tax Luxembourg,-998,99649,LU,Luxembourg
LU00123733,MH GERMANY PROPERTY I S.à r.l.,-995,1132232,LU,Luxembourg
LU00123736,CROWN Premium Private Equity III SICAV,-998,234548,LU,Luxembourg
LU00123742,Kings Cross Residential S.à r.l.,-995,569296,LU,Luxembourg
LU00123747,Granilux,-998,1128562,LU,Esch-sur-Alzette
LU00123811,TOITURE C.F.C. S.àr.l.,-995,568527,LU,Medernach
LU00123838,H.M. Sàrl,-998,71308,LU,Roedt
LU00123861,Vanksen Group S.A.,-998,6204886,LU,Bertrange
LU00123898,Young Energy Prize S.A.,-997,2750000,LU,Luxembourg
LU00123940,CPP Investment Board Europe S.à r.l.,77,49626,LU,Luxembourg
LU00123952,ALKEN FUND,-998,95773955,LU,Luxembourg
LU00124014,Credit Suisse Nova (Lux),-998,343854638,LU,Luxemburg
LU00124018,LA NOUVELLE CARAVELLE s.à r.l.,-998,676400,LU,Bertrange
LU00124027,249 SAINT DENIS,-998,158373,LU,Luxembourg
LU00124049,RSHB CAPITAL S.A.,40,32600659,LU,Luxembourg
LU00124050,SHIPLUX I S.A.,-998,10065945,LU,Luxembourg
